"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2022","6,706.00","6,578.70","6,716.10","6,578.70","897.16M","1.94%"
"06/28/2022","6,763.60","6,706.00","6,763.60","6,706.00","754.45M","0.86%"
"06/29/2022","6,700.20","6,763.60","6,763.60","6,666.40","789.05M","-0.94%"
"06/30/2022","6,568.10","6,700.20","6,700.20","6,568.10","880.81M","-1.97%"
"07/01/2022","6,539.90","6,568.10","6,623.90","6,539.90","638.96M","-0.43%"
"07/04/2022","6,612.60","6,539.90","6,659.00","6,539.90","574.59M","1.11%"
"07/05/2022","6,629.30","6,612.60","6,657.00","6,596.80","532.85M","0.25%"
"07/06/2022","6,594.50","6,629.30","6,651.60","6,587.90","752.35M","-0.52%"
"07/07/2022","6,648.00","6,594.50","6,648.00","6,594.50","700.45M","0.81%"
"07/08/2022","6,678.00","6,648.00","6,715.00","6,648.00","586.43M","0.45%"
"07/11/2022","6,602.20","6,678.00","6,678.00","6,602.20","551.96M","-1.14%"
"07/12/2022","6,606.30","6,602.20","6,649.70","6,601.90","618.65M","0.06%"
"07/13/2022","6,621.60","6,606.30","6,621.60","6,584.10","673.88M","0.23%"
"07/14/2022","6,650.60","6,621.60","6,659.30","6,611.70","735.50M","0.44%"
"07/15/2022","6,605.60","6,650.60","6,650.60","6,537.20","629.77M","-0.68%"
"07/18/2022","6,687.10","6,605.60","6,687.10","6,605.60","528.42M","1.23%"
"07/19/2022","6,649.60","6,687.10","6,696.10","6,639.60","659.23M","-0.56%"
"07/20/2022","6,759.20","6,649.60","6,775.40","6,649.60","745.99M","1.65%"
"07/21/2022","6,794.30","6,759.20","6,794.30","6,743.90","834.47M","0.52%"
"07/22/2022","6,791.50","6,794.30","6,816.10","6,758.50","822.11M","-0.04%"
"07/25/2022","6,789.90","6,791.50","6,803.00","6,775.70","594.06M","-0.02%"
"07/26/2022","6,807.30","6,789.90","6,815.00","6,783.20","619.01M","0.26%"
"07/27/2022","6,823.20","6,807.30","6,833.40","6,778.90","626.05M","0.23%"
"07/28/2022","6,889.70","6,823.20","6,892.10","6,823.20","721.20M","0.97%"
"07/29/2022","6,945.20","6,889.70","6,973.60","6,889.70","919.21M","0.81%"
"08/01/2022","6,993.00","6,945.20","6,994.10","6,945.20","668.03M","0.69%"
"08/02/2022","6,998.10","6,993.00","7,003.80","6,944.90","625.57M","0.07%"
"08/03/2022","6,975.90","6,998.10","6,998.10","6,918.20","672.46M","-0.32%"
"08/04/2022","6,974.90","6,975.90","7,021.10","6,974.90","704.91M","-0.01%"
"08/05/2022","7,015.60","6,974.90","7,016.60","6,969.60","589.29M","0.58%"
"08/08/2022","7,020.60","7,015.60","7,025.90","6,985.80","687.57M","0.07%"
"08/09/2022","7,029.80","7,020.60","7,034.30","7,012.80","762.57M","0.13%"
"08/10/2022","6,992.70","7,029.80","7,029.80","6,985.70","698.01M","-0.53%"
"08/11/2022","7,071.00","6,992.70","7,077.10","6,992.70","772.61M","1.12%"
"08/12/2022","7,032.50","7,071.00","7,071.00","7,012.10","647.02M","-0.54%"
"08/15/2022","7,064.30","7,032.50","7,076.00","7,032.50","585.91M","0.45%"
"08/16/2022","7,105.40","7,064.30","7,131.60","7,064.30","663.10M","0.58%"
"08/17/2022","7,127.70","7,105.40","7,130.50","7,082.90","764.00M","0.31%"
"08/18/2022","7,112.80","7,127.70","7,127.70","7,081.00","739.02M","-0.21%"
"08/19/2022","7,114.50","7,112.80","7,137.50","7,107.90","692.19M","0.02%"
"08/22/2022","7,046.90","7,114.50","7,114.50","7,031.70","658.22M","-0.95%"
"08/23/2022","6,961.80","7,046.90","7,049.50","6,961.80","731.43M","-1.21%"
"08/24/2022","6,998.10","6,961.80","7,013.70","6,961.80","754.47M","0.52%"
"08/25/2022","7,048.10","6,998.10","7,057.70","6,992.00","772.19M","0.71%"
"08/26/2022","7,104.10","7,048.10","7,130.00","7,048.10","658.25M","0.79%"
"08/29/2022","6,965.50","7,104.10","7,104.10","6,943.20","705.27M","-1.95%"
"08/30/2022","6,998.30","6,965.50","7,020.00","6,965.50","723.98M","0.47%"
"08/31/2022","6,986.80","6,998.30","6,998.30","6,937.50","956.95M","-0.16%"
"09/01/2022","6,845.60","6,986.80","6,986.80","6,836.50","825.35M","-2.02%"
"09/02/2022","6,828.70","6,845.60","6,854.90","6,820.50","632.29M","-0.25%"
"09/05/2022","6,852.20","6,828.70","6,858.00","6,822.80","563.37M","0.34%"
"09/06/2022","6,826.50","6,852.20","6,888.50","6,826.10","677.16M","-0.38%"
"09/07/2022","6,729.30","6,826.50","6,826.50","6,719.60","872.59M","-1.42%"
"09/08/2022","6,848.70","6,729.30","6,848.70","6,729.30","799.12M","1.77%"
"09/09/2022","6,894.20","6,848.70","6,898.50","6,848.70","809.50M","0.66%"
"09/12/2022","6,964.50","6,894.20","6,974.90","6,894.20","582.06M","1.02%"
