"Date","Price","Open","High","Low","Vol.","Change %"
"10/10/2023","17,664.73","17,726.63","17,916.62","17,638.01","1.60B","0.84%"
"10/11/2023","17,893.10","17,956.83","18,022.45","17,889.71","2.03B","1.29%"
"10/12/2023","18,238.21","18,258.26","18,290.91","18,175.35","3.86B","1.93%"
"10/13/2023","17,813.45","17,946.77","18,013.67","17,776.95","2.14B","-2.33%"
"10/16/2023","17,640.36","17,803.31","17,858.18","17,601.50","1.90B","-0.97%"
"10/17/2023","17,773.34","17,806.23","17,815.71","17,671.99","1.73B","0.75%"
"10/18/2023","17,732.52","17,728.25","17,831.18","17,625.89","1.94B","-0.23%"
"10/19/2023","17,295.89","17,540.46","17,540.46","17,292.36","2.27B","-2.46%"
"10/20/2023","17,172.13","17,127.26","17,309.74","17,118.07","1.99B","-0.72%"
"10/24/2023","16,991.53","17,053.15","17,139.53","16,879.66","2.12B","-1.05%"
"10/25/2023","17,085.33","17,465.43","17,465.82","17,001.43","2.50B","0.55%"
"10/26/2023","17,044.61","17,085.12","17,174.08","16,917.22","1.97B","-0.24%"
"10/27/2023","17,398.73","17,160.23","17,497.72","17,078.24","2.45B","2.08%"
"10/30/2023","17,406.36","17,225.65","17,406.36","17,225.65","2.67B","0.04%"
"10/31/2023","17,112.48","17,337.70","17,337.70","17,042.10","2.11B","-1.69%"
"11/01/2023","17,101.78","17,139.40","17,188.85","16,979.26","1.53B","-0.06%"
"11/02/2023","17,230.59","17,282.39","17,459.43","17,176.01","1.80B","0.75%"
"11/03/2023","17,664.12","17,405.91","17,729.43","17,352.60","2.00B","2.52%"
"11/06/2023","17,966.59","17,913.54","18,037.94","17,899.35","2.76B","1.71%"
"11/07/2023","17,670.16","17,850.59","17,890.63","17,658.91","1.97B","-1.65%"
"11/08/2023","17,568.46","17,650.51","17,753.59","17,537.20","2.14B","-0.58%"
"11/09/2023","17,511.29","17,553.26","17,617.27","17,457.00","1.64B","-0.33%"
"11/10/2023","17,203.26","17,350.87","17,350.87","17,177.53","1.67B","-1.76%"
"11/13/2023","17,426.21","17,263.00","17,456.08","17,126.61","1.44B","1.30%"
"11/14/2023","17,396.86","17,495.10","17,565.22","17,358.89","1.45B","-0.17%"
"11/15/2023","18,079.00","17,836.65","18,102.28","17,766.22","2.91B","3.92%"
"11/16/2023","17,832.82","18,174.69","18,174.69","17,722.86","1.88B","-1.36%"
"11/17/2023","17,454.19","17,584.32","17,631.04","17,413.46","1.95B","-2.12%"
"11/20/2023","17,778.07","17,625.84","17,788.90","17,532.73","1.96B","1.86%"
"11/21/2023","17,733.89","17,932.54","18,057.62","17,689.01","2.09B","-0.25%"
"11/22/2023","17,734.60","17,736.40","17,796.86","17,650.49","1.24B","0.00%"
"11/23/2023","17,910.84","17,680.05","17,927.36","17,577.31","1.67B","0.99%"
"11/24/2023","17,559.42","17,771.75","17,771.75","17,545.61","1.30B","-1.96%"
"11/27/2023","17,525.06","17,677.52","17,677.52","17,358.24","1.50B","-0.20%"
"11/28/2023","17,354.14","17,541.48","17,541.48","17,303.82","1.79B","-0.98%"
"11/29/2023","16,993.44","17,359.08","17,359.08","16,881.98","2.81B","-2.08%"
"11/30/2023","17,042.88","16,985.18","17,068.26","16,863.05","3.01B","0.29%"
"12/01/2023","16,830.30","17,019.17","17,038.98","16,830.30","2.43B","-1.25%"
"12/04/2023","16,646.05","16,919.08","16,941.91","16,617.03","2.48B","-1.09%"
"12/05/2023","16,327.86","16,606.54","16,606.54","16,228.52","2.68B","-1.91%"
"12/06/2023","16,463.26","16,311.96","16,600.36","16,234.84","1.99B","0.83%"
"12/07/2023","16,345.89","16,376.44","16,376.44","16,157.98","1.95B","-0.71%"
"12/08/2023","16,334.37","16,373.44","16,464.14","16,249.15","1.88B","-0.07%"
"12/11/2023","16,201.49","16,149.06","16,276.88","15,972.31","2.53B","-0.81%"
"12/12/2023","16,374.50","16,236.06","16,420.97","16,157.68","1.98B","1.07%"
"12/13/2023","16,228.75","16,311.71","16,326.95","16,145.25","1.86B","-0.89%"
"12/14/2023","16,402.19","16,419.74","16,577.75","16,319.22","2.34B","1.07%"
"12/15/2023","16,792.19","16,610.70","16,964.33","16,610.70","3.90B","2.38%"
"12/18/2023","16,629.23","16,669.82","16,713.41","16,572.88","1.57B","-0.97%"
"12/19/2023","16,505.00","16,551.44","16,579.55","16,408.02","1.52B","-0.75%"
"12/20/2023","16,613.81","16,647.95","16,741.05","16,549.49","1.65B","0.66%"
"12/21/2023","16,621.13","16,455.14","16,649.57","16,444.73","1.40B","0.04%"
"12/22/2023","16,340.41","16,743.06","16,857.84","16,271.50","2.20B","-1.69%"
"12/27/2023","16,624.84","16,561.78","16,673.57","16,439.26","2.23B","1.74%"
"12/28/2023","17,043.53","16,678.23","17,086.10","16,644.43","2.30B","2.52%"
"12/29/2023","17,047.39","17,066.52","17,095.12","16,950.90","1.57B","0.02%"
"01/02/2024","16,788.55","17,135.12","17,135.12","16,725.28","1.72B","-1.52%"
"01/03/2024","16,646.41","16,624.92","16,657.51","16,564.80","1.58B","-0.85%"
"01/04/2024","16,645.98","16,673.40","16,673.40","16,516.33","1.79B","0.00%"
"01/05/2024","16,535.33","16,573.12","16,745.73","16,455.57","1.94B","-0.66%"
"01/08/2024","16,224.45","16,581.86","16,592.06","16,144.56","2.23B","-1.88%"
"01/09/2024","16,190.02","16,256.10","16,414.79","16,190.02","1.94B","-0.21%"
"01/10/2024","16,097.28","16,143.97","16,247.30","16,036.42","1.79B","-0.57%"
"01/11/2024","16,302.04","16,154.17","16,459.92","16,106.83","1.97B","1.27%"
