"Date","Price","Open","High","Low","Vol.","Change %"
"02/27/2025","18.20","17.90","18.80","17.55","26.06K","3.12%"
"02/26/2025","17.65","18.15","18.25","17.55","31.97K","-5.36%"
"02/25/2025","18.65","17.90","18.75","17.70","38.66K","6.27%"
"02/24/2025","17.55","17.95","18.50","17.50","35.16K","-1.13%"
"02/21/2025","17.75","17.90","18.55","17.65","25.68K","-1.39%"
"02/20/2025","18.00","17.90","18.20","17.55","23.15K","10.84%"
"02/19/2025","16.24","15.70","16.25","15.70","3.84K","1.18%"
"02/18/2025","16.05","16.20","16.30","15.65","34.00K","-1.53%"
"02/17/2025","16.30","16.30","16.50","16.15","20.16K","-0.61%"
"02/14/2025","16.40","16.60","16.70","16.25","20.12K","-3.53%"
"02/13/2025","17.00","16.60","17.05","16.45","25.26K","0.29%"
"02/12/2025","16.95","16.95","17.35","16.55","18.97K","0.30%"
"02/11/2025","16.90","17.05","17.30","16.85","17.62K","-2.31%"
"02/10/2025","17.30","17.15","17.40","17.00","17.17K","-0.57%"
"02/07/2025","17.40","17.00","17.60","16.55","24.61K","4.82%"
"02/06/2025","16.60","17.15","17.15","16.60","11.91K","-2.92%"
"02/05/2025","17.10","17.40","17.60","16.75","11.38K","-0.29%"
"02/04/2025","17.15","17.25","18.15","17.05","20.05K","-2.28%"
"02/03/2025","17.55","18.75","19.50","17.05","32.95K","6.36%"
"01/31/2025","16.50","16.40","17.10","16.25","14.36K","1.54%"
"01/30/2025","16.25","16.45","16.55","16.15","13.03K","-2.40%"
"01/29/2025","16.65","16.65","16.95","16.45","15.28K","-2.06%"
"01/28/2025","17.00","17.45","17.55","16.65","16.27K","-2.58%"
"01/27/2025","17.45","17.10","18.60","17.05","32.25K","5.44%"
"01/24/2025","16.55","16.65","16.65","16.40","8.85K","0.30%"
"01/23/2025","16.50","16.85","16.90","16.30","12.26K","9.13%"
"01/22/2025","15.12","16.65","16.70","15.10","1.46K","-4.30%"
"01/21/2025","15.80","17.00","17.15","15.60","22.09K","-5.39%"
"01/20/2025","16.70","17.00","17.10","16.50","25.40K","2.14%"
"01/17/2025","16.35","16.80","16.80","16.05","18.69K","0.62%"
"01/16/2025","16.25","16.35","16.80","16.10","20.38K","-1.81%"
"01/15/2025","16.55","17.90","18.10","16.20","34.68K","-7.28%"
"01/14/2025","17.85","18.15","18.40","17.45","18.37K","-4.80%"
"01/13/2025","18.75","18.90","19.55","18.30","26.83K","-0.53%"
"01/10/2025","18.85","17.40","18.90","17.35","27.78K","9.28%"
"01/09/2025","17.25","17.40","17.70","17.15","10.90K","-1.71%"
"01/08/2025","17.55","17.05","17.95","16.75","29.73K","5.41%"
"01/07/2025","16.65","16.95","17.35","16.20","20.17K","0.91%"
"01/06/2025","16.50","16.90","17.05","16.45","22.21K","-5.17%"
"01/03/2025","17.40","17.25","17.55","16.80","11.42K","0.29%"
"01/02/2025","17.35","17.35","18.05","16.90","16.68K","0.87%"
"12/30/2024","17.20","17.35","17.85","16.80","9.95K","1.18%"
"12/27/2024","17.00","17.20","17.70","16.80","15.64K","-3.95%"
"12/23/2024","17.70","18.35","18.65","17.30","23.72K","-7.81%"
"12/20/2024","19.20","19.95","21.25","18.30","49.07K","2.13%"
