"Date","Price","Open","High","Low","Vol.","Change %"
"05/12/2025","23,566.54","23,758.58","23,911.98","23,361.72","92.75M","0.29%"
"05/13/2025","23,638.56","23,583.74","23,649.88","23,543.05","79.96M","0.31%"
"05/14/2025","23,527.01","23,679.03","23,702.20","23,444.41","80.37M","-0.47%"
"05/15/2025","23,695.59","23,422.18","23,696.68","23,338.89","74.79M","0.72%"
"05/16/2025","23,767.43","23,775.68","23,887.14","23,664.39","71.98M","0.30%"
"05/19/2025","23,934.98","23,705.93","23,935.09","23,676.35","47.85M","0.70%"
"05/20/2025","24,036.11","24,004.39","24,082.48","23,898.85","66.39M","0.42%"
"05/21/2025","24,122.40","23,966.42","24,152.24","23,871.47","58.54M","0.36%"
"05/22/2025","23,999.17","24,017.06","24,040.21","23,843.07","56.10M","-0.51%"
"05/23/2025","23,629.58","24,026.69","24,149.08","23,274.85","94.25M","-1.54%"
"05/26/2025","24,027.65","24,009.10","24,050.60","23,932.04","37.00M","1.68%"
"05/27/2025","24,226.49","24,054.16","24,300.97","24,027.75","53.47M","0.83%"
"05/28/2025","24,038.19","24,250.99","24,325.97","24,038.19","57.89M","-0.78%"
"05/29/2025","23,933.23","24,255.01","24,255.01","23,917.06","42.77M","-0.44%"
"05/30/2025","23,997.48","23,963.49","24,181.53","23,958.43","110.53M","0.27%"
"06/02/2025","23,930.67","23,865.38","23,993.22","23,740.09","53.15M","-0.28%"
"06/03/2025","24,091.62","24,031.96","24,101.55","23,826.39","50.51M","0.67%"
"06/04/2025","24,276.48","24,253.69","24,346.15","24,129.32","54.18M","0.77%"
"06/05/2025","24,323.58","24,281.21","24,479.42","24,220.71","53.67M","0.19%"
"06/06/2025","24,304.46","24,304.37","24,355.03","24,214.53","41.24M","-0.08%"
"06/09/2025","24,174.32","24,252.26","24,289.51","24,097.09","35.99M","-0.54%"
"06/10/2025","23,987.56","24,156.53","24,168.59","23,964.77","59.03M","-0.77%"
"06/11/2025","23,948.90","23,996.66","24,151.39","23,948.57","62.19M","-0.16%"
"06/12/2025","23,771.45","23,768.05","23,885.06","23,618.85","63.68M","-0.74%"
"06/13/2025","23,516.23","23,448.19","23,557.71","23,360.16","73.19M","-1.07%"
"06/16/2025","23,699.12","23,589.47","23,711.73","23,505.54","55.48M","0.78%"
"06/17/2025","23,434.65","23,495.06","23,550.99","23,315.07","55.14M","-1.12%"
"06/18/2025","23,317.81","23,426.97","23,502.95","23,262.64","56.99M","-0.50%"
"06/19/2025","23,057.38","23,178.60","23,254.86","23,051.55","41.40M","-1.12%"
"06/20/2025","23,350.55","23,197.12","23,481.97","23,187.48","153.41M","1.27%"
"06/23/2025","23,269.01","23,242.90","23,385.60","23,080.29","50.04M","-0.35%"
"06/24/2025","23,641.58","23,689.19","23,812.79","23,580.21","63.91M","1.60%"
"06/25/2025","23,498.33","23,713.24","23,713.24","23,466.73","57.28M","-0.61%"
"06/26/2025","23,649.30","23,609.30","23,710.58","23,521.10","51.55M","0.64%"
"06/27/2025","24,033.22","23,864.67","24,040.55","23,784.62","57.58M","1.62%"
"06/30/2025","23,909.61","24,109.15","24,120.82","23,854.31","70.77M","-0.51%"
"07/01/2025","23,673.29","23,966.95","23,978.30","23,671.27","61.85M","-0.99%"
"07/02/2025","23,790.11","23,789.06","23,824.50","23,620.42","53.39M","0.49%"
"07/03/2025","23,934.13","23,884.80","23,944.10","23,762.42","46.65M","0.61%"
"07/04/2025","23,787.45","23,833.14","23,868.93","23,702.65","34.24M","-0.61%"
"07/07/2025","24,073.67","23,845.88","24,073.67","23,836.58","39.61M","1.20%"
"07/08/2025","24,206.91","24,135.74","24,244.09","24,063.42","60.80M","0.55%"
"07/09/2025","24,549.56","24,278.89","24,609.15","24,261.01","60.62M","1.42%"
"07/10/2025","24,456.81","24,638.58","24,639.10","24,450.97","58.77M","-0.38%"
"07/11/2025","24,255.31","24,333.11","24,369.05","24,166.63","45.56M","-0.82%"
"07/14/2025","24,160.64","24,038.29","24,168.14","23,975.46","42.20M","-0.39%"
"07/15/2025","24,060.29","24,220.52","24,266.81","24,060.29","41.80M","-0.42%"
"07/16/2025","24,009.38","24,011.99","24,207.81","23,968.95","51.69M","-0.21%"
"07/17/2025","24,370.93","24,227.54","24,374.50","24,174.76","47.54M","1.51%"
"07/18/2025","24,289.51","24,483.66","24,494.88","24,251.36","47.71M","-0.33%"
"07/21/2025","24,307.80","24,309.39","24,335.26","24,191.63","42.78M","0.08%"
"07/22/2025","24,041.90","24,236.09","24,237.41","23,921.83","49.15M","-1.09%"
"07/23/2025","24,240.82","24,246.80","24,310.96","24,122.19","80.49M","0.83%"
"07/24/2025","24,295.93","24,502.99","24,514.93","24,235.44","78.04M","0.23%"
"07/25/2025","24,217.50","24,097.33","24,252.59","24,065.19","54.01M","-0.32%"
"07/28/2025","23,970.36","24,424.67","24,444.47","23,942.12","52.66M","-1.02%"
"07/29/2025","24,217.37","24,051.71","24,310.00","24,051.71","50.19M","1.03%"
"07/30/2025","24,262.22","24,169.26","24,302.77","24,138.21","51.18M","0.19%"
"07/31/2025","24,065.47","24,340.21","24,433.40","24,039.92","61.02M","-0.81%"
"08/01/2025","23,425.97","23,786.91","23,802.73","23,380.94","69.50M","-2.66%"
"08/04/2025","23,757.69","23,523.24","23,783.79","23,521.61","50.80M","1.42%"
"08/05/2025","23,846.07","23,914.32","23,979.59","23,785.08","58.13M","0.37%"
